center_name,center_phonenumber,center_state,center_city,center_pincode,center_address,warehouse_name
Gavin distribution center,9703162459, Vermont ,Clarksville,28452,"824-5212 Elit. Road, Clarksville,  Vermont , 28452",Shelley warehouse
Peter distribution center,8769895684, Virginia[E] ,Omaha,50814,"6928 Aliquet Road, Omaha,  Virginia[E] , 50814",Howard warehouse
Tucker distribution center,9068541498, Washington ,Memphis,55167,"Ap #693-3405 Tempus, St., Memphis,  Washington , 55167",Shelley warehouse
Eaton distribution center,9680993531, West Virginia ,Cleveland,76453,"544-3023 Elit, Avenue, Cleveland,  West Virginia , 76453",Madaline warehouse
Blake distribution center,9356970470, Wisconsin ,Portland,22120,"160-4776 Aliquam Avenue, Portland,  Wisconsin , 22120",Fitzgerald warehouse
Baxter distribution center,9075953464, Wyoming ,Detroit,80117,"209-6542 Eleifend Street, Detroit,  Wyoming , 80117",Hop warehouse
Michael distribution center,9017023263, Alabama ,Philadelphia,27548,"P.O. Box 955, 5050 Euismod Ave, Philadelphia,  Alabama , 27548",Lance warehouse
Peter distribution center,8925434729, Alaska ,Carson City,38795,"707-1406 Id, Street, Carson City,  Alaska , 38795",Matthew warehouse
Darius distribution center,9713455296, Arizona ,Orlando,35344,"160-6796 Est, Road, Orlando,  Arizona , 35344",Lucius warehouse
Martin distribution center,8704097267, Arkansas ,Knoxville,12102,"4825 Vestibulum. Av., Knoxville,  Arkansas , 12102",Uriah warehouse
Guy distribution center,8613934874, California ,Biloxi,76661,"Ap #871-1725 Malesuada. Ave, Biloxi,  California , 76661",Elaine warehouse
Declan distribution center,8596334421, Colorado ,Lexington,57277,"Ap #360-7967 Lacus Rd., Lexington,  Colorado , 57277",Doris warehouse
Clinton distribution center,8599785698, Connecticut ,Broken Arrow,38435,"2399 Duis St., Broken Arrow,  Connecticut , 38435",Kasper warehouse
Oscar distribution center,8828973870, Delaware ,Pike Creek,62276,"265-6052 Aliquam Road, Pike Creek,  Delaware , 62276",Dominic warehouse
Tobias distribution center,8967859042, Florida ,Iowa City,43746,"194-8683 Urna. Rd., Iowa City,  Florida , 43746",Trevor warehouse
Steel distribution center,9919642899, Georgia ,Duluth,42546,"Ap #922-3201 Lacinia St., Duluth,  Georgia , 42546",Jillian warehouse
Kaseem distribution center,8673606806, Hawaii ,Gresham,75653,"621-6799 Elit, St., Gresham,  Hawaii , 75653",Ashely warehouse
Nehru distribution center,9653182536, Idaho ,Auburn,66163,"9218 Pellentesque Ave, Auburn,  Idaho , 66163",Eaton warehouse
Arthur distribution center,9660073836, Illinois ,Springfield,71563,"Ap #721-3303 Mollis. Av., Springfield,  Illinois , 71563",Steel warehouse
Perry distribution center,9737417069, Indiana ,North Las Vegas,88372,"184-4013 Cras Street, North Las Vegas,  Indiana , 88372",Samson warehouse
Brent distribution center,8546097591, Iowa ,Flint,65369,"1846 Tempor Rd., Flint,  Iowa , 65369",Olivia warehouse
Xenos distribution center,9210890084, Kansas ,Salem,95372,"Ap #124-3430 Sed Avenue, Salem,  Kansas , 95372",Lareina warehouse
Ezra distribution center,9180292256, Kentucky[E] ,Seattle,32133,"Ap #105-3231 Dictum. Road, Seattle,  Kentucky[E] , 32133",Naomi warehouse
Donovan distribution center,8736910965, Louisiana ,Lakewood,71729,"Ap #145-5585 Purus St., Lakewood,  Louisiana , 71729",Pascale warehouse
Zeus distribution center,9931093809, Maine ,Hillsboro,58703,"632-8530 Ornare Rd., Hillsboro,  Maine , 58703",Barbara warehouse
Ezra distribution center,8654550095, Maryland ,Anchorage,28623,"6898 Dignissim Street, Anchorage,  Maryland , 28623",Reece warehouse
Hakeem distribution center,8556444747, Massachusetts[E] ,Mobile,61413,"Ap #918-9578 Faucibus. Street, Mobile,  Massachusetts[E] , 61413",Janna warehouse
Tiger distribution center,8844205587, Michigan ,Saint Louis,13036,"P.O. Box 829, 5592 Eget, Ave, Saint Louis,  Michigan , 13036",Kennan warehouse
Cairo distribution center,8877039274, Minnesota ,Cedar Rapids,85112,"P.O. Box 440, 2546 Quisque Road, Cedar Rapids,  Minnesota , 85112",Martina warehouse
Daniel distribution center,9133225576, Mississippi ,Metairie,88063,"191-3370 Et Ave, Metairie,  Mississippi , 88063",Jacqueline warehouse
Elmo distribution center,9486098500, Missouri ,Butte,25903,"917-7581 Luctus Av., Butte,  Missouri , 25903",Karleigh warehouse
Barry distribution center,9880631539, Montana ,Boston,74659,"Ap #641-4303 Donec Road, Boston,  Montana , 74659",Delilah warehouse
Maxwell distribution center,8804926479, Nebraska ,Bear,87672,"Ap #784-3293 Cras Road, Bear,  Nebraska , 87672",Pandora warehouse
Walter distribution center,9885565018, Nevada ,Nashville,36891,"122-2965 Bibendum Road, Nashville,  Nevada , 36891",Petra warehouse
Colby distribution center,8954884514, New Hampshire ,Columbia,72892,"Ap #420-4278 Sit St., Columbia,  New Hampshire , 72892",Desiree warehouse
Walker distribution center,8796260102, New Jersey ,Fort Collins,58345,"981-2034 Lacinia Rd., Fort Collins,  New Jersey , 58345",Roth warehouse
Lewis distribution center,8623524204, New Mexico ,Columbia,53885,"Ap #216-567 Dui Avenue, Columbia,  New Mexico , 53885",Ariel warehouse
Dennis distribution center,8874946194, New York ,Lawton,22341,"P.O. Box 117, 3915 Quisque St., Lawton,  New York , 22341",Kylee warehouse
Jerome distribution center,9791660838, North Carolina ,Wichita,28354,"Ap #269-4377 Proin Road, Wichita,  North Carolina , 28354",Chava warehouse
Alfonso distribution center,8582343804, North Dakota ,Lansing,61758,"8264 Eu Street, Lansing,  North Dakota , 61758",Magee warehouse
Caesar distribution center,9402947833, Ohio ,Rochester,89602,"Ap #909-2443 Tempus Road, Rochester,  Ohio , 89602",Bree warehouse
Omar distribution center,9306557258, Oklahoma ,Salem,99134,"P.O. Box 816, 4230 Aliquam Av., Salem,  Oklahoma , 99134",Imani warehouse
Denton distribution center,9008592475, Oregon ,Columbus,98254,"Ap #381-4484 A Rd., Columbus,  Oregon , 98254",Aurelia warehouse
Holmes distribution center,9650397140, Pennsylvania[E] ,West Valley City,53434,"Ap #599-3546 Pede St., West Valley City,  Pennsylvania[E] , 53434",Carl warehouse
Ian distribution center,9693394782, Rhode Island[F] ,Independence,60177,"Ap #934-9429 Est, St., Independence,  Rhode Island[F] , 60177",Emmanuel warehouse
Acton distribution center,9524742358, South Carolina ,Paradise,57316,"516-173 Duis Road, Paradise,  South Carolina , 57316",Ila warehouse
Hayes distribution center,8807917473, South Dakota ,Kansas City,88282,"P.O. Box 163, 3359 Duis Avenue, Kansas City,  South Dakota , 88282",Chaney warehouse
Cain distribution center,9319502664, Tennessee ,Hattiesburg,34398,"Ap #584-1252 Etiam Rd., Hattiesburg,  Tennessee , 34398",Kevin warehouse
Nolan distribution center,8620977760, Texas ,Las Vegas,80821,"Ap #842-3047 Sapien, Street, Las Vegas,  Texas , 80821",Myles warehouse
Alan distribution center,9428045571, Utah ,Saint Paul,12686,"Ap #845-9877 Cras Ave, Saint Paul,  Utah , 12686",Noble warehouse
Wesley distribution center,8598666239, Vermont ,Kearney,31293,"921-8306 Ultrices. Rd., Kearney,  Vermont , 31293",Shelley warehouse
Denton distribution center,9991868871, Virginia[E] ,Salt Lake City,22466,"Ap #827-567 Sollicitudin Ave, Salt Lake City,  Virginia[E] , 22466",Howard warehouse
Lewis distribution center,9129774365, Washington ,Lafayette,83148,"Ap #803-4773 Nunc St., Lafayette,  Washington , 83148",Shelley warehouse
Chase distribution center,9838415403, West Virginia ,Jefferson City,74176,"3769 Ipsum. Ave, Jefferson City,  West Virginia , 74176",Madaline warehouse
Zachary distribution center,9854286385, Wisconsin ,Pike Creek,55787,"4865 Vitae Road, Pike Creek,  Wisconsin , 55787",Fitzgerald warehouse
Ishmael distribution center,8717373219, Wyoming ,Minneapolis,52193,"193-8691 Quis, Avenue, Minneapolis,  Wyoming , 52193",Hop warehouse
